Mode,Episode,Warm Start,Advice Count,Advice Consumed,Governance Blocks,Real Sim Calls,Step to Feasible,Repeated Failures,Retrieved Episodes,Retrieval Precision
no_memory,0,False,0,0,0,1,na,0,0,0.0
no_memory,1,False,0,0,0,1,na,1,0,0.0
no_memory,2,False,0,0,0,1,na,1,0,0.0
episodic_retrieval_only,0,False,0,0,0,1,na,0,0,0.0
episodic_retrieval_only,1,True,3,0,0,1,na,1,1,0.9
episodic_retrieval_only,2,True,18,0,0,1,na,1,2,0.9
episodic_plus_reflection,0,False,0,0,0,1,na,0,0,0.0
episodic_plus_reflection,1,True,3,1,0,1,na,1,1,0.9
episodic_plus_reflection,2,True,18,1,0,1,na,1,2,0.9
full_memory,0,False,0,0,0,1,na,0,0,0.0
full_memory,1,True,3,2,0,1,na,1,1,0.9
full_memory,2,True,18,2,0,1,na,1,2,0.9
